Rank,District,State,Latitude,Longitude,Avg_Annual_Rainfall_mm,Avg_Slope_Degrees,risk_binary,Avg_Elevation_m,Rainfall_x_Slope
108,West Siang,Arunachal Pradesh,28.1970922,94.48407,6456.5,29.39,Lower-Risk,2150.0,189756.535
110,Dhalai,Tripura,23.8253158,91.9732227,1849.4,7.38,Lower-Risk,111.7,13648.572
112,Ukhrul,Manipur,25.3121261,94.4754982,1580.5,28.44,Lower-Risk,1644.6,44949.420000000006
113,Kurung Kumey,Arunachal Pradesh,27.9863677,93.1578347,4308.0,33.69,Lower-Risk,1902.2,145136.52
115,Tirap,Arunachal Pradesh,27.030169,95.4979175,2632.8,11.69,Lower-Risk,559.1,30777.432
118,Champhai,Mizoram,23.5443743,93.3479506,1612.9,27.9,Lower-Risk,1507.7,44999.91
120,Upper Subansiri,Arunachal Pradesh,28.2596054,94.0938106,3836.5,17.66,Lower-Risk,1208.0,67752.59
122,Chandel,Manipur,24.1700959,94.0059673,1826.0,22.24,Lower-Risk,1390.9,40610.24
125,Anjaw,Arunachal Pradesh,28.1553856,96.8407212,3688.9,22.45,Lower-Risk,4000.2,82815.805
127,Dhubri,Assam,26.132275,90.1249962,3372.3,1.36,Lower-Risk,31.1,4586.328
130,South Tripura,Tripura,23.1708278,91.638817,2035.1,1.54,Lower-Risk,42.4,3134.054
135,Dibang Valley,Arunachal Pradesh,28.8291044,95.9554096,4242.4,17.66,Lower-Risk,1427.6,74920.784
137,Karimganj,Assam,24.5828196,92.3725487,2596.0,7.3,Lower-Risk,78.2,18950.8
142,Imphal East,Manipur,24.8326698,94.0168859,1421.9,2.66,Lower-Risk,787.4,3782.2540000000004
143,Bishnupur,Manipur,24.5263926,93.800487,1459.5,0.33,Lower-Risk,768.1,481.63500000000005
144,Zunheboto,Nagaland,26.0123803,94.5123719,2235.5,25.19,Lower-Risk,1574.7,56312.245
145,Wokha,Nagaland,26.242251,94.1921153,2037.5,1.57,Lower-Risk,298.4,3198.875
